# compound id (and file prefix), SMILES, iupac name (or alternative if IUPAC is unavailable or not parseable by OEChem), experimental value (kcal/mol), experimental uncertainty (kcal/mol), Mobley group calculated value (GAFF) (kcal/mol), calculated uncertainty (kcal/mol),dG (TF),std (TF),diff (TF vs exp),diff (GAFF vs exp),dG (Brooks),diff (Brooks vs TF),,,,,,,RMSE(Brooks vs TF),RMSE (TF vs exp)
mobley_1896013, C1[C@H]([C@@H]([C@H]([C@H](O1)O)O)O)O," (2S,3R,4S,5R)-oxane-2,3,4,5-tetrol",-20.52,0.27,-14.15,0.08,-14.52,0.19,6.00,6.37,-17.133333,2.613333,,,,,,,6.83,36.00
mobley_5006685, CC(=C)[C@H]1CCC(=CC1)C=O, 4-(1-Methylethenyl)-1-cyclohexene-1-carboxaldehyde,-4.09,0.17,-3.59,0.03,-3.25,0.02,0.84,0.50,-5.82,2.57,,,,,,,6.60,0.71
mobley_5063386, c1ccc(c(c1)[N+](=O)[O-])O, 2-nitrophenol,-4.58,0.6,-5.67,0.06,-5.91,0.08,1.33,1.09,-8.363333,2.453333,,,,,,,6.02,1.77
mobley_5076071, CCN(CC)c1c(cc(c(c1[N+](=O)[O-])N)C(F)(F)F)[N+](=O)[O-]," 1-N,1-N-diethyl-2,6-dinitro-4-(trifluoromethyl)benzene-1,3-diamine",-5.66,1.93,-7.5,0.04,-8.9,0.18,3.24,1.84,-11.343333,2.443333,,,,,,,5.97,10.50
mobley_3105103, Cc1c(c(=O)n(c(=O)[nH]1)C(C)(C)C)Cl, terbacil,-11.14,1.93,-13.77,0.04,-9.78,0.27,1.36,2.63,-12.153333,2.373333,,,,,,,5.63,1.85
mobley_2023925, [C@@H](C(F)(F)F)(OC(F)F)Cl," 2-chloro-2-(difluoromethoxy)-1,1,1-trifluoro-ethane",0.1,0.6,-1.16,0.03,-2.66,0.16,2.76,1.26,-4.823333,2.163333,,,,,,,4.68,7.62
mobley_1328936, COC(=O)c1ccc(cc1)[N+](=O)[O-], methyl 4-nitrobenzoate,-6.88,0.6,-6.59,0.03,-6.29,0.07,0.59,0.29,-8.383333,2.093333,,,,,,,4.38,0.35
mobley_2523689, c1ccc(cc1)n2c(=O)c(c(cn2)N)Cl, 5-Amino-4-chloro-2-phenylpyridazin-3(2H)-one,-16.43,1.93,-16.04,0.04,-15.14,0.13,1.29,0.39,-17.213333,2.073333,,,,,,,4.30,1.66
mobley_8207196, CCNc1nc(nc(n1)Cl)NCC, simazine,-10.22,0.1,-10.91,0.04,-0.31,0.07,9.91,0.69,-2.256667,1.946667,,,,,,,3.79,98.21
mobley_9201263, COS(=O)(=O)C, methyl methanesulfonate,-4.87,0.6,-8.82,0.03,-7.43,0.07,2.56,3.95,-9.37,1.94,,,,,,,3.76,6.55
mobley_1036761, C1CCC(CC1)N, cyclohexanamine,-4.59,0.6,-3.95,0.03,-3.57,0.08,1.02,0.64,-1.646667,1.923333,,,,,,,3.70,1.04
mobley_3047364, CCNc1nc(nc(n1)SC)NC(C)C," 2-N-ethyl-6-(methylsulfanyl)-4-N-(propan-2-yl)-1,3,5-triazine-2,4-diamine",-7.65,0.45,-10.55,0.04,-2.73,0.17,4.92,2.90,-4.606667,1.876667,,,,,,,3.52,24.21
mobley_6620221, CC1(Cc2cccc(c2O1)OC(=O)NC)C, carbofuran,-9.61,0.3,-11.13,0.04,-10.51,0.34,0.90,1.52,-12.383333,1.873333,,,,,,,3.51,0.81
mobley_6843802, c1ccc(cc1)O[C@@H](C(F)F)F," 1,2,2-trifluoroethoxybenzene",-1.29,0.6,-3.04,0.04,-1.13,0.22,0.16,1.75,-2.996667,1.866667,,,,,,,3.48,0.03
mobley_194273, CC[C@H](C)n1c(=O)c(c([nH]c1=O)C)Br, bromacil,-9.73,1.93,-14.5,0.04,-10.34,0.21,0.61,4.77,-12.193333,1.853333,,,,,,,3.43,0.37
mobley_9626434, CCOCCO, 2-ethoxyethanol,-6.69,0.6,-4.41,0.03,-5.8,0.03,0.89,2.28,-7.62,1.82,,,,,,,3.31,0.79
mobley_5456566, c1(c(c(c(c(c1Cl)Cl)Cl)Cl)Cl)c2c(c(c(c(c2Cl)Cl)Cl)Cl)Cl," 1,2,3,4,5-pentachloro-6-(2,3,4,5,6-pentachlorophenyl)benzene",-2.98,1,0.76,0.05,-1.37,0.14,1.61,3.74,-3.166667,1.796667,,,,,,,3.23,2.59
mobley_3259411, C(C(CO)O)O, glycerol,-13.43,1,-10.14,0.04,-11.2,0.07,2.23,3.29,-12.986667,1.786667,,,,,,,3.19,4.97
mobley_7463408, CCC(=O)Nc1ccc(c(c1)Cl)Cl," N-(3,4-dichlorophenyl)propanimidic acid",-7.78,1.93,-9.41,0.04,-10.6,0.22,2.82,1.63,-12.343333,1.743333,,,,,,,3.04,7.95
mobley_1469079, c1ccc2c(c1)Oc3cc(c(cc3O2)Cl)Cl," 2,3-dichlorodibenzo-p-dioxin",-3.56,1,-3.59,0.04,-2.04,0.04,1.52,0.03,-3.776667,1.736667,,,,,,,3.02,2.31
mobley_6334915, COP(=O)([C@H](C(Cl)(Cl)Cl)O)OC," (1R)-2,2,2-trichloro-1-dimethoxyphosphoryl-ethanol",-12.74,1.93,-13.42,0.04,-15.6,0.25,2.86,0.68,-17.306667,1.706667,,,,,,,2.91,8.18
mobley_4479135, C=C(c1ccccc1)c2ccccc2," 1,1-diphenylethene",-2.78,0.1,-2.47,0.04,-1.9,0.1,0.88,0.31,-3.606667,1.706667,,,,,,,2.91,0.77
mobley_6115639, COP(=O)(OC)OC, trimethyl phosphate,-8.7,0.1,-10.64,0.03,-9.16,0.16,0.46,1.94,-10.863333,1.703333,,,,,,,2.90,0.21
mobley_7415647, CN(C)C(=O)c1ccc(cc1)[N+](=O)[O-]," N,N-dimethyl-4-nitro-benzamide",-11.95,0.6,-10.04,0.04,-11.05,0.28,0.90,1.91,-12.746667,1.696667,,,,,,,2.88,0.81
mobley_7912193, CCCCOC(=O)c1ccc(cc1)O, butyl paraben,-8.72,0.27,-8.77,0.04,-6.39,0.16,2.33,0.05,-8.053333,1.663333,,,,,,,2.77,5.43
mobley_7360181, COC(C(F)(F)F)(OC)OC," 1,1,1-trifluoro-2,2,2-trimethoxyethane",-0.8,0.2,-2.32,0.03,-0.25,0.16,0.55,1.52,-1.9,1.65,,,,,,,2.72,0.30
mobley_5510474, c1ccc2c(c1)Oc3c(c(c(c(c3Cl)Cl)Cl)Cl)O2," 1,2,3,4-tetrachlorodibenzo-p-dioxin",-3.81,0.14,-2.77,0.04,-1.83,0.06,1.98,1.04,-3.466667,1.636667,,,,,,,2.68,3.92
mobley_9741965, C[C@@H](CCO[N+](=O)[O-])O[N+](=O)[O-]," 1,3-bis-(nitrooxy)butane",-4.29,0.39,-4.94,0.02,-3.25,0.28,1.04,0.65,-4.876667,1.626667,,,,,,,2.65,1.08
mobley_2913224, CC(=O)Oc1ccccc1C(=O)O, acetylsalicylic acid,-9.94,0.18,-9.4,0.04,-9.32,0.16,0.62,0.54,-10.91,1.59,,,,,,,2.53,0.38
mobley_6861308, CN(C)C(=O)Nc1ccccc1, fenuron,-9.13,1.93,-11.81,0.04,-9.86,0.11,0.73,2.68,-11.446667,1.586667,,,,,,,2.52,0.53
mobley_52782, C(CO[N+](=O)[O-])O[N+](=O)[O-]," 1,2-dinitroxyethane",-5.73,0.1,-6.23,0.03,-4.81,0.05,0.92,0.50,-6.39,1.58,,,,,,,2.50,0.85
mobley_1743409, CCOC(=O)CCC(=O)OCC, diethyl butanedioate,-5.71,0.6,-8.68,0.05,-6.74,0.11,1.03,2.97,-8.296667,1.556667,,,,,,,2.42,1.06
mobley_550662, CC(OC)(OC)OC," 1,1,1-trimethoxyethane",-4.42,0.6,-3.7,0.04,-2.61,0.14,1.81,0.72,-4.16,1.55,,,,,,,2.40,3.28
mobley_2005792, c1ccc(cc1)c2ccccc2, biphenyl,-2.7,0.2,-3.14,0.03,-1.47,0.06,1.23,0.44,-2.993333,1.523333,,,,,,,2.32,1.51
mobley_9007496, CNC(=O)Oc1cccc2c1cccc2, naphthalen-1-yl N-methylcarbamate,-9.45,0.1,-10.44,0.04,-8.71,0.33,0.74,0.99,-10.233333,1.523333,,,,,,,2.32,0.55
mobley_1976156, CCCCCCCCC=O, nonanal,-2.07,0.6,-2.34,0.03,-0.65,0.05,1.42,0.27,-2.113333,1.463333,,,,,,,2.14,2.02
mobley_7017274, c1ccc2c(c1)ccc3c2cccc3, phenanthrene,-3.88,0.6,-5.26,0.03,-3.22,0.13,0.66,1.38,-4.636667,1.416667,,,,,,,2.01,0.44
mobley_172879, c1ccc2c(c1)Oc3ccccc3O2, dibenzo-p-dioxin,-3.15,0.1,-4.9,0.02,-1.64,0.11,1.51,1.75,-3.05,1.41,,,,,,,1.99,2.28
mobley_1363784, Cc1cc(cnc1)C," 3,5-dimethylpyridine",-4.84,0.6,-2.87,0.03,-2.92,0.04,1.92,1.97,-4.296667,1.376667,,,,,,,1.90,3.69
mobley_7378987, Cn1cnc2c1c(=O)n(c(=O)n2C)C, caffeine,-12.64,0.74,-17.62,0.04,-14.71,0.11,2.07,4.98,-16.056667,1.346667,,,,,,,1.81,4.28
mobley_5948990, c1ccc(c(c1)N)[N+](=O)[O-], 2-nitroaniline,-7.37,0.6,-7.66,0.03,-5.31,0.11,2.06,0.29,-6.636667,1.326667,,,,,,,1.76,4.24
mobley_5561855, c1cc(c(c(c1)Cl)c2c(cc(cc2Cl)Cl)Cl)Cl," 1,3,5-trichloro-2-(2,6-dichlorophenyl)benzene",-1.96,0.1,-0.48,0.04,-1.12,0.08,0.84,1.48,-2.446667,1.326667,,,,,,,1.76,0.71
mobley_5347550, COC(C(Cl)Cl)(F)F," 2,2-dichloro-1,1-difluoro-1-methoxy-ethane",-1.12,0.6,-0.69,0.03,-3.93,0.13,2.81,0.43,-5.253333,1.323333,,,,,,,1.75,7.90
mobley_9617923, CCCCCCCCC(=O)C, decan-2-one,-2.34,0.6,-2.57,0.04,-2.45,0.13,0.11,0.23,-3.746667,1.296667,,,,,,,1.68,0.01
mobley_5747188, Cc1ccccc1[N+](=O)[O-], 1-methyl-2-nitro-benzene,-3.58,0.6,-3.13,0.03,-4.57,0.09,0.99,0.45,-5.833333,1.263333,,,,,,,1.60,0.98
mobley_4188615, CN(C)C(=O)c1ccccc1," N,N-dimethylbenzamide",-9.29,0.6,-8.11,0.03,-8.43,0.18,0.86,1.18,-9.69,1.26,,,,,,,1.59,0.74
mobley_7203421, CCCCCC(=O)N, hexanamide,-9.31,0.6,-8.1,0.03,-6.83,0.07,2.48,1.21,-8.076667,1.246667,,,,,,,1.55,6.15
mobley_632905, CC(=O)c1ccc(cc1)OC, 1-(4-methoxyphenyl)ethanone,-4.4,0.6,-6.58,0.03,-6.6,0.04,2.20,2.18,-7.823333,1.223333,,,,,,,1.50,4.84
mobley_1278715, C(C(Cl)(Cl)Cl)(Cl)(Cl)Cl, hexachloroethane,-0.64,0.1,0.89,0.03,-1.07,0.08,0.43,1.53,-2.293333,1.223333,,,,,,,1.50,0.18
mobley_1449384, Cc1ccc(cc1)C(C)C, 1-isopropyl-4-methyl-benzene,-0.68,0.6,-0.46,0.03,0.82,0.09,1.50,0.22,-0.396667,1.216667,,,,,,,1.48,2.25
mobley_5467162, CC(C)(C)c1ccc(cc1)O, 4-tert-butylphenol,-5.91,0.6,-5.54,0.03,-3.72,0.06,2.19,0.37,-4.933333,1.213333,,,,,,,1.47,4.80
mobley_1502181, CCCCCCCC(=O)C, nonan-2-one,-2.49,0.6,-2.56,0.03,-2.54,0.17,0.05,0.07,-3.743333,1.203333,,,,,,,1.45,0.00
mobley_1728386, c1ccc(cc1)C(=O)N, benzamide,-11,0.2,-10.41,0.03,-6.09,0.02,4.91,0.59,-7.29,1.2,,,,,,,1.44,24.11
mobley_7298388, Cc1cccc(c1)[N+](=O)[O-], 1-methyl-3-nitro-benzene,-3.45,0.6,-3.28,0.03,-2.38,0.07,1.07,0.17,-3.576667,1.196667,,,,,,,1.43,1.14
mobley_3060426, CC(C)CCC(C)(C)C," 2,2,5-trimethylhexane",2.93,0.6,2.97,0.03,3.67,0.1,0.74,0.04,2.49,1.18,,,,,,,1.39,0.55
mobley_129464, CCCCOCCCC, 1-butoxybutane,-0.83,0.6,0.14,0.03,0.24,0.05,1.07,0.97,-0.935,1.175,,,,,,,1.38,1.14
mobley_2727678, c1c(c(=O)[nH]c(=O)[nH]1)I, 5-iodouracil,-18.72,0.64,-17.74,0.03,-14.48,0.07,4.24,0.98,-15.65,1.17,,,,,,,1.37,17.98
mobley_718988, CCCCCCCN, heptan-1-amine,-3.79,0.6,-2.55,0.03,-0.39,0.08,3.40,1.24,-1.546667,1.156667,,,,,,,1.34,11.56
mobley_1075836, CCC(=O)OC, methyl propanoate,-2.93,0.6,-3.65,0.03,-2.85,0.08,0.08,0.72,-3.993333,1.143333,,,,,,,1.31,0.01
mobley_4218209, COc1ccc(cc1)N, 4-methoxyaniline,-7.48,0.6,-7.02,0.03,-5.86,0.06,1.62,0.46,-6.98,1.12,,,,,,,1.25,2.62
mobley_2881590, CC(C)CO[N+](=O)[O-], isobutyl nitrate,-1.88,0.1,-1.83,0.03,-0.36,0.11,1.52,0.05,-1.48,1.12,,,,,,,1.25,2.31
mobley_8809190, CCCCc1ccccc1, butylbenzene,-0.4,0.6,-0.23,0.03,0.73,0.08,1.13,0.17,-0.386667,1.116667,,,,,,,1.25,1.28
mobley_1723043, C1(C(C(C1(F)F)(F)F)(F)F)(F)F, octafluorocyclobutane,3.43,0.03,3.08,0.03,0.04,0.13,3.39,0.35,-1.073333,1.113333,,,,,,,1.24,11.49
mobley_1244778, C1CCCC(CC1)O, cycloheptanol,-5.48,0.6,-4.34,0.03,-3.52,0.06,1.96,1.14,-4.63,1.11,,,,,,,1.23,3.84
mobley_63712, CN1CCCCC1, 1-methylpiperidine,-3.88,0.6,-3.47,0.03,-2.56,0.06,1.32,0.41,-3.67,1.11,,,,,,,1.23,1.74
mobley_6358463, c1ccc(c(c1)C(F)(F)F)C(F)(F)F," 1,2-bis(trifluoromethyl)benzene",1.07,0.6,-1.44,0.03,-1.28,0.11,2.35,2.51,-2.383333,1.103333,,,,,,,1.22,5.52
mobley_352111, CC(=O)OCCOC(=O)C, 2-acetoxyethyl acetate,-6.34,0.6,-8.29,0.04,-7.42,0.1,1.08,1.95,-8.516667,1.096667,,,,,,,1.20,1.17
mobley_7794077, c1c(c(=O)[nH]c(=O)[nH]1)C(F)(F)F, 5-trifluoromethyluracil,-15.46,0.16,-17.35,0.03,-12.87,0.01,2.59,1.89,-13.956667,1.086667,,,,,,,1.18,6.71
mobley_1235151, CCCCC[N+](=O)[O-], 1-nitropentane,-2.82,0.6,-1.32,0.03,-5.26,0.07,2.44,1.50,-6.333333,1.073333,,,,,,,1.15,5.95
mobley_1178614, c1ccc(c(c1)O)Cl, 2-chlorophenol,-4.55,0.6,-3.32,0.04,-3.08,0.08,1.47,1.23,-4.146667,1.066667,,,,,,,1.14,2.16
mobley_4678740, c1cc(cc(c1)C(F)(F)F)C(F)(F)F, m-bis(trifluoromethyl)benzene,1.07,0.2,-0.34,0.03,0.35,0.08,0.72,1.41,-0.713333,1.063333,,,,,,,1.13,0.52
mobley_3746675, CC(=C)c1ccccc1, isopropenylbenzene,-1.24,0.6,-0.65,0.03,-1.34,0.09,0.10,0.59,-2.376667,1.036667,,,,,,,1.07,0.01
mobley_6988468, CCc1ccccn1, 2-ethylpyridine,-4.33,0.6,-3.31,0.03,-3.45,0.07,0.88,1.02,-4.476667,1.026667,,,,,,,1.05,0.77
mobley_1722522, CCCC(=O)OCC, ethyl butanoate,-2.49,0.6,-3.38,0.03,-2.38,0.08,0.11,0.89,-3.403333,1.023333,,,,,,,1.05,0.01
mobley_3167746, CCCCCCCC, octane,2.88,0.6,3.09,0.03,3.31,0.09,0.43,0.21,2.286667,1.023333,,,,,,,1.05,0.18
mobley_9257453, c1cc(c(cc1O)Cl)Cl," 3,4-dichlorophenol",-7.29,0.1,-5.14,0.03,-5.05,0.06,2.24,2.15,-6.066667,1.016667,,,,,,,1.03,5.02
mobley_1160109, C[C@@H]1CC[C@H](CC1=O)C(=C)C," (2R,5R)-2-methyl-5-(1-methylethenyl)-cyclohexanone",-3.75,0.21,-3.34,0.03,-4.87,0.06,1.12,0.41,-5.886667,1.016667,,,,,,,1.03,1.25
mobley_8467917, CCCC/C=C/C, hept-2-ene,1.68,0.6,2.78,0.03,2.48,0.04,0.80,1.10,1.47,1.01,,,,,,,1.02,0.64
mobley_1352110, CCCCN(CC)C(=O)SCCC, pebulate,-3.64,1.93,-4.57,0.04,-3.74,0.58,0.10,0.93,-4.746667,1.006667,,,,,,,1.01,0.01
mobley_1139153, CC(C)CC(C)(C)C," 2,2,4-trimethylpentane",2.89,0.6,2.54,0.03,3.17,0.08,0.28,0.35,2.163333,1.006667,,,,,,,1.01,0.08
mobley_5690766, C=CCCC=C," hexa-1,5-diene",1.01,0.6,2.49,0.02,1.04,0.13,0.03,1.48,0.036667,1.003333,,,,,,,1.01,0.00
mobley_1328465, C(C(Cl)Cl)Cl," 1,1,2-trichloroethane",-1.99,0.6,-0.38,0.03,0.02,0.14,2.01,1.61,-0.98,1,,,,,,,1.00,4.04
mobley_6082662, c1cc(ccc1N)N(=O)=O, 4-nitroaniline,-9.82,0.1,-9.42,0.03,-6.54,0.1,3.28,0.40,-7.54,1,,,,,,,1.00,10.76
mobley_4039055, c1c(c(=O)[nH]c(=O)[nH]1)Br, 5-bromouracil,-18.17,0.55,-17.3,0.03,-13.9,0.06,4.27,0.87,-14.896667,0.996667,,,,,,,0.99,18.23
mobley_8558116, CN1CCOCC1, 4-methylmorpholine,-6.32,0.6,-5.77,0.03,-5.39,0.3,0.93,0.55,-6.386667,0.996667,,,,,,,0.99,0.86
mobley_7893124, CC(C)(C)c1ccccc1, tert-butylbenzene,-0.44,0.6,-0.8,0.03,0.67,0.08,1.11,0.36,-0.32,0.99,,,,,,,0.98,1.23
mobley_5760563, COS(=O)(=O)OC, dimethyl sulfate,-5.1,0.6,-8.41,0.03,-6.45,0.08,1.35,3.31,-7.436667,0.986667,,,,,,,0.97,1.82
mobley_5079234, CCCCCCCO, heptan-1-ol,-4.21,0.6,-2.92,0.03,-3.45,0.16,0.76,1.29,-4.436667,0.986667,,,,,,,0.97,0.58
mobley_4884177, CCc1cccnc1, 3-ethylpyridine,-4.59,0.6,-2.96,0.03,-3.9,0.07,0.69,1.63,-4.88,0.98,,,,,,,0.96,0.48
mobley_8525830, CCCCCI, 1-iodopentane,-0.14,0.6,-0.11,0.03,-0.11,0.07,0.03,0.03,-1.086667,0.976667,,,,,,,0.95,0.00
mobley_8746821, Cc1cccnc1C," 2,3-dimethylpyridine",-4.82,0.6,-3.37,0.03,-2.93,0.05,1.89,1.45,-3.893333,0.963333,,,,,,,0.93,3.57
mobley_7364468, CC1=CC(=O)CC(C1)(C)C," 3,5,5-trimethylcyclohex-2-en-1-one",-5.18,1.37,-4.09,0.03,-3.07,0.06,2.11,1.09,-4.033333,0.963333,,,,,,,0.93,4.45
mobley_1827204, CCCCCC=O, hexanal,-2.81,0.6,-2.86,0.03,-1.37,0.04,1.44,0.05,-2.333333,0.963333,,,,,,,0.93,2.07
mobley_900088, CC(=C)C(=C)C," 2,3-dimethylbuta-1,3-diene",0.4,0.6,1.86,0.03,0.47,0.08,0.07,1.46,-0.486667,0.956667,,,,,,,0.92,0.00
mobley_6804509, c1c(c(cc(c1Cl)Cl)Cl)Cl," 1,2,4,5-tetrachlorobenzene",-1.34,0.6,0.04,0.03,-0.96,0.1,0.38,1.38,-1.916667,0.956667,,,,,,,0.92,0.14
mobley_7142697, CCCCCN, pentan-1-amine,-4.09,0.6,-2.83,0.03,-0.76,0.05,3.33,1.26,-1.716667,0.956667,,,,,,,0.92,11.09
mobley_397645, CCOC(=O)c1ccccc1, ethyl benzoate,-3.64,0.6,-4.6,0.03,-2.49,0.08,1.15,0.96,-3.446667,0.956667,,,,,,,0.92,1.32
mobley_4193752, c1ccc(cc1)[N+](=O)[O-], nitrobenzene,-4.12,0.6,-3.46,0.03,-2.7,0.11,1.42,0.66,-3.653333,0.953333,,,,,,,0.91,2.02
mobley_7295828, COc1ccccc1, anisole,-2.45,0.6,-2.32,0.03,-2.02,0.08,0.43,0.13,-2.966667,0.946667,,,,,,,0.90,0.18
mobley_8057732, c1cc(cc(c1)Cl)O, 3-chlorophenol,-6.62,0.6,-5.02,0.03,-4.81,0.04,1.81,1.60,-5.753333,0.943333,,,,,,,0.89,3.28
mobley_1424265, Cc1cccc(c1)C, m-xylene,-0.83,0.6,-0.7,0.03,0.43,0.05,1.26,0.13,-0.506667,0.936667,,,,,,,0.88,1.59
mobley_7573149, CCCOC(=O)C, propyl acetate,-2.79,0.6,-3.49,0.03,-2.77,0.03,0.02,0.70,-3.703333,0.933333,,,,,,,0.87,0.00
mobley_9112978, CC/C=C\C, pent-2-ene,1.31,0.6,2.37,0.02,1.88,0.08,0.57,1.06,0.946667,0.933333,,,,,,,0.87,0.32
mobley_2213823, CCC(C)CC, 3-methylpentane,2.51,0.6,2.61,0.03,2.96,0.08,0.45,0.10,2.026667,0.933333,,,,,,,0.87,0.20
mobley_8514745, CCCCCOC(=O)C, pentyl acetate,-2.51,0.6,-2.56,0.03,-2.22,0.14,0.29,0.05,-3.143333,0.923333,,,,,,,0.85,0.08
mobley_2782339, c1ccc2c(c1)C(=O)NC2=O, phthalimide,-9.61,0.5,-11.82,0.03,-18.54,0.12,8.93,2.21,-19.446667,0.906667000000002,,,,,,,0.82,79.74
mobley_7983227, CC[C@@H](C)CO, 2-methylbutan-1-ol,-4.42,0.6,-3,0.03,-3.52,0.05,0.90,1.42,-4.423333,0.903333,,,,,,,0.82,0.81
mobley_2751110, c1cc(ccc1[N+](=O)[O-])O, 4-nitrophenol,-10.64,0.6,-8.47,0.03,-7.48,0.02,3.16,2.17,-8.383333,0.903333,,,,,,,0.82,9.99
mobley_2371092, Cc1ccncc1C," 3,4-dimethylpyridine",-5.22,0.6,-3.2,0.03,-3.78,0.04,1.44,2.02,-4.68,0.9,,,,,,,0.81,2.07
mobley_9557440, c1c(c(=O)[nH]c(=O)[nH]1)Cl, 5-chlorouracil,-17.74,0.78,-16.61,0.03,-13.6,0.02,4.14,1.13,-14.483333,0.883333,,,,,,,0.78,17.14
mobley_5094777, c1ccc2c(c1)CCC2, indane,-1.46,0.6,-1.75,0.03,-5.63,0.05,4.17,0.29,-6.513333,0.883333,,,,,,,0.78,17.39
mobley_7039935, c1ccc2c(c1)cccc2O, naphthalen-1-ol,-7.67,0.6,-7.14,0.03,-5.7,0.1,1.97,0.53,-6.58,0.88,,,,,,,0.77,3.88
mobley_1046331, c1ccc(cc1)OC=O, phenyl formate,-3.82,0.6,-5.44,0.03,-4.18,0.05,0.36,1.62,-5.056667,0.876667000000001,,,,,,,0.77,0.13
mobley_1838110, C(C(F)(Cl)Cl)(F)(F)Cl," 1,1,2-trichloro-1,2,2-trifluoro-ethane",1.77,0.6,1.69,0.03,1.09,0.08,0.68,0.08,0.22,0.87,,,,,,,0.76,0.46
mobley_6571751, CC1=CCCCC1, 1-methylcyclohexene,0.67,0.6,1.34,0.03,1.25,0.07,0.58,0.67,0.383333,0.866667,,,,,,,0.75,0.34
mobley_7176290, c1cc(cc(c1)O)[N+](=O)[O-], 3-nitrophenol,-9.62,0.6,-7.89,0.03,-7.42,0.13,2.20,1.73,-8.286667,0.866667,,,,,,,0.75,4.84
mobley_7814642, c1cc(c(cc1Cl)Cl)Cl," 1,2,4-trichlorobenzene",-1.12,0.6,-0.12,0.03,-1.1,0.12,0.02,1.00,-1.96,0.86,,,,,,,0.74,0.00
mobley_2864987, CCC[C@@H](C)O, pentan-2-ol,-4.39,0.6,-2.94,0.03,-2.9,0.04,1.49,1.45,-3.753333,0.853333,,,,,,,0.73,2.22
mobley_5857, c1ccc2c(c1)cccn2, quinoline,-5.72,0.6,-4.99,0.03,-5.4,0.13,0.32,0.73,-6.25,0.85,,,,,,,0.72,0.10
mobley_337666, c1c(c(=O)[nH]c(=O)[nH]1)F, 5-fluorouracil,-16.92,0.88,-16.37,0.03,-14.48,0.07,2.44,0.55,-15.326667,0.846667,,,,,,,0.72,5.95
mobley_8809274, c1ccc(cc1)C(F)(F)F, trifluoromethylbenzene,-0.25,0.6,-0.57,0.03,-0.1,0.02,0.15,0.32,-0.933333,0.833333,,,,,,,0.69,0.02
mobley_3777264, c1cc(cc(c1)[N+](=O)[O-])N, 3-nitroaniline,-8.84,0.6,-8.2,0.03,-6.42,0.07,2.42,0.64,-7.246667,0.826667000000001,,,,,,,0.68,5.86
mobley_8772587, CCCCI, 1-iodobutane,-0.25,0.6,-0.22,0.03,-0.34,0.16,0.09,0.03,-1.166667,0.826667,,,,,,,0.68,0.01
